"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2019","5,868.45","5,868.45","5,868.45","5,868.45","","-0.44%"
"05/03/2019","5,894.30","5,894.30","5,894.30","5,894.30","","0.97%"
"05/02/2019","5,837.46","5,837.46","5,837.46","5,837.46","","-0.21%"
"05/01/2019","5,849.65","5,849.65","5,849.65","5,849.65","","-0.75%"
"04/30/2019","5,893.81","5,893.81","5,893.81","5,893.81","","0.10%"
"04/29/2019","5,888.05","5,888.05","5,888.05","5,888.05","","0.11%"
"04/26/2019","5,881.48","5,881.48","5,881.48","5,881.48","","0.47%"
"04/25/2019","5,853.87","5,853.87","5,853.87","5,853.87","","-0.04%"
"04/24/2019","5,856.03","5,856.03","5,856.03","5,856.03","","-0.22%"
"04/23/2019","5,868.88","5,868.88","5,868.88","5,868.88","","0.89%"
"04/22/2019","5,817.16","5,817.16","5,817.16","5,817.16","","0.10%"
"04/18/2019","5,811.13","5,811.13","5,811.13","5,811.13","","0.16%"
"04/17/2019","5,801.83","5,801.83","5,801.83","5,801.83","","-0.22%"
"04/16/2019","5,814.46","5,814.46","5,814.46","5,814.46","","0.05%"
"04/15/2019","5,811.51","5,811.51","5,811.51","5,811.51","","-0.06%"
"04/12/2019","5,815.04","5,815.04","5,815.04","5,815.04","","0.67%"
"04/11/2019","5,776.28","5,776.28","5,776.28","5,776.28","","0.01%"
"04/10/2019","5,775.99","5,775.99","5,775.99","5,775.99","","0.36%"
"04/09/2019","5,755.49","5,755.49","5,755.49","5,755.49","","-0.58%"
"04/08/2019","5,788.86","5,788.86","5,788.86","5,788.86","","0.11%"
"04/05/2019","5,782.70","5,782.70","5,782.70","5,782.70","","0.46%"
"04/04/2019","5,755.96","5,755.96","5,755.96","5,755.96","","0.23%"
"04/03/2019","5,742.67","5,742.67","5,742.67","5,742.67","","0.21%"
"04/02/2019","5,730.35","5,730.35","5,730.35","5,730.35","","0.01%"
"04/01/2019","5,730.04","5,730.04","5,730.04","5,730.04","","1.16%"
"03/29/2019","5,664.46","5,664.46","5,664.46","5,664.46","","0.68%"
"03/28/2019","5,626.32","5,626.32","5,626.32","5,626.32","","0.37%"
"03/27/2019","5,605.32","5,605.32","5,605.32","5,605.32","","-0.46%"
"03/26/2019","5,631.39","5,631.39","5,631.39","5,631.39","","0.72%"
"03/25/2019","5,591.23","5,591.23","5,591.23","5,591.23","","-0.08%"
"03/22/2019","5,595.50","5,595.50","5,595.50","5,595.50","","-1.89%"
"03/21/2019","5,703.28","5,703.28","5,703.28","5,703.28","","1.09%"
"03/20/2019","5,641.74","5,641.74","5,641.74","5,641.74","","-0.29%"
"03/19/2019","5,658.15","5,658.15","5,658.15","5,658.15","","-0.01%"
"03/18/2019","5,658.73","5,658.73","5,658.73","5,658.73","","0.37%"
"03/15/2019","5,637.77","5,637.77","5,637.77","5,637.77","","0.50%"
"03/14/2019","5,609.58","5,609.58","5,609.58","5,609.58","","-0.05%"
"03/13/2019","5,612.56","5,612.56","5,612.56","5,612.56","","0.70%"
"03/12/2019","5,573.44","5,573.44","5,573.44","5,573.44","","0.30%"
"03/11/2019","5,556.77","5,556.77","5,556.77","5,556.77","","1.47%"
"03/08/2019","5,476.39","5,476.39","5,476.39","5,476.39","","-0.20%"
"03/07/2019","5,487.56","5,487.56","5,487.56","5,487.56","","-0.79%"
"03/06/2019","5,531.34","5,531.34","5,531.34","5,531.34","","-0.65%"
"03/05/2019","5,567.40","5,567.40","5,567.40","5,567.40","","-0.11%"
"03/04/2019","5,573.53","5,573.53","5,573.53","5,573.53","","-0.39%"
"03/01/2019","5,595.11","5,595.11","5,595.11","5,595.11","","0.70%"
"02/28/2019","5,556.49","5,556.49","5,556.49","5,556.49","","-0.25%"
"02/27/2019","5,570.57","5,570.57","5,570.57","5,570.57","","-0.04%"
"02/26/2019","5,572.74","5,572.74","5,572.74","5,572.74","","-0.08%"
"02/25/2019","5,577.09","5,577.09","5,577.09","5,577.09","","0.14%"
"02/22/2019","5,569.45","5,569.45","5,569.45","5,569.45","","0.64%"
"02/21/2019","5,533.80","5,533.80","5,533.80","5,533.80","","-0.34%"
"02/20/2019","5,552.90","5,552.90","5,552.90","5,552.90","","0.20%"
"02/19/2019","5,541.98","5,541.98","5,541.98","5,541.98","","0.16%"
"02/15/2019","5,533.27","5,533.27","5,533.27","5,533.27","","1.10%"
"02/14/2019","5,473.33","5,473.33","5,473.33","5,473.33","","-0.23%"
"02/13/2019","5,485.97","5,485.97","5,485.97","5,485.97","","0.31%"
"02/12/2019","5,468.98","5,468.98","5,468.98","5,468.98","","1.30%"
"02/11/2019","5,399.00","5,399.00","5,399.00","5,399.00","","0.07%"
"02/08/2019","5,395.12","5,395.12","5,395.12","5,395.12","","0.10%"
"02/07/2019","5,389.69","5,389.69","5,389.69","5,389.69","","-0.92%"
"02/06/2019","5,439.80","5,439.80","5,439.80","5,439.80","","-0.21%"
"02/05/2019","5,451.40","5,451.40","5,451.40","5,451.40","","0.47%"
"02/04/2019","5,425.80","5,425.80","5,425.80","5,425.80","","0.68%"
"02/01/2019","5,389.19","5,389.19","5,389.19","5,389.19","","0.10%"
"01/31/2019","5,383.63","5,383.63","5,383.63","5,383.63","","0.88%"
"01/30/2019","5,336.60","5,336.60","5,336.60","5,336.60","","1.57%"
"01/29/2019","5,254.31","5,254.31","5,254.31","5,254.31","","-0.14%"
"01/28/2019","5,261.88","5,261.88","5,261.88","5,261.88","","-0.78%"
"01/25/2019","5,303.51","5,303.51","5,303.51","5,303.51","","0.85%"
"01/24/2019","5,258.69","5,258.69","5,258.69","5,258.69","","0.14%"
"01/23/2019","5,251.29","5,251.29","5,251.29","5,251.29","","0.22%"
"01/22/2019","5,239.75","5,239.75","5,239.75","5,239.75","","-1.41%"
"01/18/2019","5,314.78","5,314.78","5,314.78","5,314.78","","1.32%"
"01/17/2019","5,245.48","5,245.48","5,245.48","5,245.48","","0.77%"
"01/16/2019","5,205.45","5,205.45","5,205.45","5,205.45","","0.22%"
"01/15/2019","5,193.78","5,193.78","5,193.78","5,193.78","","1.07%"
